Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C2, C3, C5, C7, C8, C9",0603,8,0.1u,
C10,C_Elec_4x5.4,1,10u,
"C4, C6",0805,2,4.7u,
"CR1, CR2, CR3, CR4",SOT563_DIO,4,DT1446-04V-7,
D1,0805,1,POWER,
D2,SOT-23,1,PESD5V0S2BT,
"D3, D4",0402,2,ESD321,
J1,CONN_SD-34829-001_08_ST_MOL,1,348300801,
J2,PinHeader_1x04_P2.54mm_Vertical,1,PROG,
J3,CONN_SD-34829-001_20_ST_MOL,1,348302004,
J4,CONN_SD-34829-001_20_ST_MOL,1,348302001,
L1,1008,1,CBC2518T4R7M,
R1,0603,1,1k,
"R2, R3, R4",0603,3,50,
R5,0603,1,120,
TP1,TestPoint_Pad_D1.5mm,1,TestPoint,
"TP10, TP5, TP9",TestPoint_Pad_D2.0mm,3,TestPoint,
"TP2, TP3, TP4, TP6, TP7, TP8",TestPoint_Pad_D1.0mm,6,TestPoint,
U1,QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm,1,AVR128DB32x-xRXB,
U2,TSOT-23-5,1,MCP1603,
U3,VQFN-28-1EP_5x5mm_P0.5mm_EP3.25x3.25mm,1,MCP251863T-H-SS,
Y1,OSC_OV-7604-C7-32.768KHZ-20PPM-TA-QC,1,OV-7604-C7,
Y2,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,1,CSTNE20M0V530000R0,
