Designator,Mid X,Mid Y,Rotation,Layer
C1,112.6705,-104.9554,180.0,top
C10,147.55,-100.838,180.0,top
C11,110.871,-107.442,90.0,top
C2,116.2663,-99.6172,270.0,top
C3,119.1873,-105.9802,0.0,top
C4,140.5945,-91.0844,90.0,top
C5,122.4893,-97.7252,0.0,top
C6,131.0695,-91.0844,270.0,top
C7,139.065,-109.728,90.0,top
C8,135.128,-100.965,0.0,top
C9,137.414,-109.728,270.0,top
CR1,108.712,-105.791,90.0,top
CR2,125.476,-129.286,180.0,top
CR3,122.047,-129.286,180.0,top
CR4,131.318,-82.042,0.0,top
CR5,127.3262,-82.042,0.0,top
D1,114.4755,-90.932,0.0,top
D2,148.899998,-105.724,0.0,top
D3,140.866,-129.921,180.0,top
D4,143.533,-129.921,0.0,top
J1,154.459999,-105.692001,90.0,top
J2,104.14,-104.902,0.0,top
J3,129.120899,-134.092299,0.0,top
J4,129.1362,-77.289601,180.0,top
L1,133.6095,-91.0844,90.0,top
R1,114.363,-92.837,0.0,top
R2,138.43,-100.203,270.0,top
R3,125.3744,-102.5652,0.0,top
R4,139.954,-100.203,270.0,top
R5,142.748,-105.724,270.0,top
U1,120.4328,-101.8172,270.0,top
U2,137.2925,-91.0844,0.0,top
U3,136.985,-104.981,0.0,top
Y1,113.284,-102.7964,180.0,top
Y2,131.626,-105.283,90.0,top
