Designator,Mid X,Mid Y,Rotation,Layer
C1,165.735,-89.662,0.0,top
C2,162.941,-92.71,0.0,top
C3,128.27,-88.9,270.0,top
C4,130.81,-88.9,270.0,top
C5,169.545,-87.945,270.0,top
C6,172.085,-87.945,270.0,top
C7,164.592,-84.709,90.0,top
C8,153.416,-94.93,270.0,top
C9,137.922,-91.186,270.0,top
D1,125.476,-85.725,180.0,top
D2,175.133,-85.725,0.0,top
J1,121.285,-86.995,0.0,top
J2,179.07,-86.995,0.0,top
R1,165.735,-87.376,180.0,top
R2,140.208,-81.661,270.0,top
R3,135.763,-79.883,180.0,top
R4,129.413,-84.455,0.0,top
R5,168.6325,-82.423,0.0,top
R6,129.3895,-82.423,180.0,top
U1,159.5,-88.0,270.0,top
U2,149.606,-88.708,180.0,top
U3,136.0,-85.09,180.0,top
