Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet
"C1,C2",2,2.2u,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,https://www.digikey.com/en/products/detail/cal-chip-electronics-inc/GMC21X7R225K10NT/13969822
C3,1,10u,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,https://www.digikey.com/en/products/detail/cal-chip-electronics-inc/GMC21X5R106K16NT/12140445
C4,1,0.1u,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,https://www.digikey.com/en/products/detail/cal-chip-electronics-inc/GMC21X7R104K25NT/13970321
J1,1,Conn_01x05,,,,Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical,~
J2,1,Conn_01x04,,,,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,~
"JP1,JP3",2,SolderJumper_3_Bridged12,x,Excluded from BOM,,Jumper:SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm,~
JP2,1,SolderJumper_2_Bridged,x,Excluded from BOM,,Jumper:SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,~
"R1,R2,R3,R4,R5,R6,R7,R8",8,R,x,Excluded from BOM,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~
"R9,R10,R11,R12",4,10k,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,https://www.digikey.com/en/products/detail/cal-chip-electronics-inc/RM10F1002CTG/13569238
U1,1,ADS122C04IPWR,,,,ADS122C04IPWR(1):SOP65P640X120-16N,https://www.digikey.com/en/products/detail/texas-instruments/ADS122C04IPWR/8635394
U2,1,MCP1711T-33I/OT,,,,Package_TO_SOT_SMD:SOT-23-5_HandSoldering,https://www.digikey.com/en/products/detail/microchip-technology/MCP1711T-33I-OT/5358233
